FlightNumber,Airline,DepartureAirport,ArrivalAirport,ScheduledDepartureTime,ActualDepartureTime,DelayDuration,DelayCause,Date,PassengerImpact,FlightStatus
AS323,American Airlines,DFW,SEA,11-02-2025 00:15,11-02-2025 00:15,0,None,11-02-2025,Minimal,On-time
SW908,Delta Air Lines,JFK,LAX,16-03-2025 22:45,16-03-2025 23:00,15,Crew,16-03-2025,Minimal,Delayed
DL261,Southwest Airlines,LAX,SFO,30-04-2025 20:00,30-04-2025 20:15,15,Security,30-04-2025,Minimal,Delayed
DL599,Delta Air Lines,DEN,PHX,11-04-2025 20:30,11-04-2025 20:30,0,None,11-04-2025,Minimal,On-time
DL121,Alaska Airlines,SFO,DEN,03-04-2025 04:30,03-04-2025 04:30,0,None,03-04-2025,Minimal,On-time
SW672,United Airlines,MIA,SEA,25-01-2025 18:15,25-01-2025 19:15,60,Late Aircraft,25-01-2025,Moderate,Delayed
JB981,JetBlue Airways,ATL,LAX,09-03-2025 04:45,09-03-2025 05:30,45,Security,09-03-2025,Moderate,Delayed
AA894,Alaska Airlines,MIA,SFO,04-04-2025 05:00,04-04-2025 06:00,60,Security,04-04-2025,Moderate,Delayed
AS164,Alaska Airlines,MIA,SFO,25-01-2025 16:45,25-01-2025 16:45,0,None,25-01-2025,Minimal,On-time
UA430,Southwest Airlines,DEN,LAX,13-01-2025 16:00,13-01-2025 16:15,15,Technical,13-01-2025,Minimal,Delayed
DL209,Southwest Airlines,DFW,LAX,05-01-2025 18:45,05-01-2025 21:45,180,Security,05-01-2025,Missed connections,Delayed
DL720,Alaska Airlines,LAX,JFK,30-04-2025 06:45,30-04-2025 06:45,0,None,30-04-2025,Minimal,On-time
SW920,Alaska Airlines,JFK,SFO,13-03-2025 23:45,13-03-2025 23:45,0,None,13-03-2025,Minimal,On-time
AA943,JetBlue Airways,ORD,PHX,06-01-2025 23:00,06-01-2025 23:00,0,None,06-01-2025,Minimal,On-time
DL631,American Airlines,LAX,ORD,10-03-2025 12:15,10-03-2025 12:45,30,Security,10-03-2025,Moderate,Delayed
DL671,Alaska Airlines,MIA,SFO,06-04-2025 03:30,06-04-2025 05:00,90,Weather,06-04-2025,Major impact,Delayed
JB511,JetBlue Airways,DEN,ATL,10-03-2025 19:45,10-03-2025 19:45,0,None,10-03-2025,Minimal,On-time
JB432,United Airlines,SFO,SEA,16-04-2025 23:30,17-04-2025 02:30,180,Technical,16-04-2025,Missed connections,Delayed
AS360,United Airlines,SEA,MIA,20-02-2025 00:00,20-02-2025 00:00,0,None,20-02-2025,Minimal,On-time
JB238,United Airlines,JFK,DEN,29-01-2025 06:30,29-01-2025 07:15,45,Security,29-01-2025,Moderate,Delayed
JB685,Delta Air Lines,LAX,JFK,28-02-2025 11:15,28-02-2025 12:15,60,Security,28-02-2025,Moderate,Delayed
UA930,United Airlines,LAX,SEA,14-03-2025 06:00,14-03-2025 06:00,0,None,14-03-2025,Minimal,On-time
DL599,Alaska Airlines,PHX,LAX,18-03-2025 20:30,18-03-2025 22:00,90,Weather,18-03-2025,Major impact,Delayed
UA456,Southwest Airlines,SFO,LAX,22-04-2025 07:00,22-04-2025 08:30,90,Weather,22-04-2025,Missed connections,Delayed
UA652,JetBlue Airways,ATL,SFO,06-03-2025 22:15,06-03-2025 23:45,90,Late Aircraft,06-03-2025,Major impact,Delayed
UA905,Southwest Airlines,ATL,DFW,13-02-2025 02:45,13-02-2025 02:50,5,Security,13-02-2025,Minimal,Delayed
AA508,JetBlue Airways,SFO,ATL,08-04-2025 04:45,08-04-2025 06:45,120,Late Aircraft,08-04-2025,Major impact,Delayed
AS636,Delta Air Lines,DFW,LAX,04-02-2025 13:30,04-02-2025 13:40,10,Weather,04-02-2025,Minimal,Delayed
SW474,United Airlines,DFW,SFO,14-02-2025 19:00,14-02-2025 19:00,0,None,14-02-2025,Minimal,On-time
UA731,Southwest Airlines,PHX,ATL,26-02-2025 01:15,26-02-2025 02:15,60,Technical,26-02-2025,Moderate,Delayed
AA215,Alaska Airlines,JFK,ORD,21-03-2025 04:30,21-03-2025 04:40,10,Crew,21-03-2025,Minimal,Delayed
AA439,Delta Air Lines,MIA,DFW,27-01-2025 17:30,27-01-2025 17:45,15,Weather,27-01-2025,Minimal,Delayed
AS639,American Airlines,ORD,ATL,08-01-2025 09:15,08-01-2025 09:15,0,None,08-01-2025,Minimal,On-time
AA576,Alaska Airlines,JFK,ATL,19-02-2025 21:30,,,Late Aircraft,19-02-2025,Major impact,Cancelled
SW620,Alaska Airlines,LAX,SFO,04-03-2025 19:00,04-03-2025 22:00,180,Late Aircraft,04-03-2025,Major impact,Delayed
JB412,United Airlines,SEA,SFO,06-04-2025 05:00,06-04-2025 06:00,60,Crew,06-04-2025,Moderate,Delayed
DL613,United Airlines,JFK,DEN,23-04-2025 12:00,23-04-2025 12:00,0,None,23-04-2025,Minimal,On-time
DL255,United Airlines,SFO,ATL,12-01-2025 23:45,13-01-2025 00:15,30,Late Aircraft,12-01-2025,Moderate,Delayed
DL536,United Airlines,PHX,DEN,27-02-2025 17:15,27-02-2025 17:30,15,Security,27-02-2025,Minimal,Delayed
DL983,Delta Air Lines,ORD,PHX,27-04-2025 04:45,27-04-2025 04:45,0,None,27-04-2025,Minimal,On-time
DL771,JetBlue Airways,ATL,SFO,09-01-2025 17:00,09-01-2025 17:15,15,Weather,09-01-2025,Minimal,Delayed
SW521,United Airlines,SEA,ORD,20-01-2025 06:00,20-01-2025 06:05,5,Security,20-01-2025,Minimal,Delayed
JB680,JetBlue Airways,DFW,ORD,30-01-2025 21:00,30-01-2025 23:00,120,Technical,30-01-2025,Missed connections,Delayed
UA288,Southwest Airlines,SEA,MIA,18-01-2025 05:15,18-01-2025 06:45,90,Weather,18-01-2025,Missed connections,Delayed
DL860,Alaska Airlines,DFW,ORD,09-01-2025 05:45,09-01-2025 05:45,0,None,09-01-2025,Minimal,On-time
UA987,Southwest Airlines,DFW,SEA,21-02-2025 01:45,21-02-2025 01:45,0,None,21-02-2025,Minimal,On-time
AS685,JetBlue Airways,MIA,PHX,24-03-2025 22:00,25-03-2025 00:00,120,Late Aircraft,24-03-2025,Major impact,Delayed
DL631,JetBlue Airways,SFO,JFK,13-03-2025 12:00,13-03-2025 14:00,120,Late Aircraft,13-03-2025,Missed connections,Delayed
UA572,Delta Air Lines,SFO,ORD,20-03-2025 01:15,20-03-2025 03:15,120,Weather,20-03-2025,Major impact,Delayed
JB812,JetBlue Airways,ATL,SEA,22-02-2025 10:45,22-02-2025 12:45,120,Security,22-02-2025,Major impact,Delayed
AA356,United Airlines,ATL,LAX,12-01-2025 03:45,12-01-2025 03:55,10,Security,12-01-2025,Minimal,Delayed
AS910,JetBlue Airways,PHX,ATL,18-02-2025 17:45,18-02-2025 18:00,15,Crew,18-02-2025,Minimal,Delayed
AS983,Delta Air Lines,ATL,DFW,23-01-2025 22:00,23-01-2025 22:45,45,Late Aircraft,23-01-2025,Moderate,Delayed
DL220,Delta Air Lines,DFW,JFK,21-03-2025 08:00,21-03-2025 10:00,120,Security,21-03-2025,Major impact,Delayed
SW343,Delta Air Lines,PHX,SEA,28-02-2025 13:45,28-02-2025 13:50,5,Technical,28-02-2025,Minimal,Delayed
UA734,Alaska Airlines,MIA,DFW,07-01-2025 05:15,07-01-2025 06:15,60,Weather,07-01-2025,Moderate,Delayed
AA783,JetBlue Airways,PHX,ORD,12-02-2025 02:00,12-02-2025 02:15,15,Technical,12-02-2025,Minimal,Delayed
JB776,Alaska Airlines,PHX,MIA,23-01-2025 14:30,23-01-2025 14:30,0,None,23-01-2025,Minimal,On-time
UA430,United Airlines,SFO,LAX,08-04-2025 13:00,08-04-2025 13:15,15,Weather,08-04-2025,Minimal,Delayed
UA437,JetBlue Airways,SFO,PHX,27-01-2025 22:15,27-01-2025 22:25,10,Security,27-01-2025,Minimal,Delayed
AS641,American Airlines,SEA,ORD,24-02-2025 19:30,24-02-2025 20:30,60,Technical,24-02-2025,Moderate,Delayed
SW632,Alaska Airlines,SEA,MIA,14-04-2025 05:15,14-04-2025 05:15,0,None,14-04-2025,Minimal,On-time
AA221,American Airlines,SEA,LAX,05-04-2025 06:45,05-04-2025 07:45,60,Crew,05-04-2025,Moderate,Delayed
AS317,American Airlines,DFW,DEN,02-02-2025 02:30,02-02-2025 05:30,180,Crew,02-02-2025,Major impact,Delayed
UA449,Southwest Airlines,PHX,JFK,17-04-2025 05:15,17-04-2025 06:15,60,Late Aircraft,17-04-2025,Moderate,Delayed
AA761,Delta Air Lines,SEA,ATL,22-03-2025 14:30,22-03-2025 16:00,90,Weather,22-03-2025,Missed connections,Delayed
AS423,JetBlue Airways,MIA,JFK,27-01-2025 18:30,27-01-2025 18:30,0,None,27-01-2025,Minimal,On-time
UA167,Delta Air Lines,ORD,JFK,13-02-2025 12:15,13-02-2025 13:45,90,Technical,13-02-2025,Major impact,Delayed
UA822,United Airlines,JFK,DEN,22-02-2025 02:45,22-02-2025 02:45,0,None,22-02-2025,Minimal,On-time
UA321,JetBlue Airways,ORD,ATL,15-01-2025 11:00,15-01-2025 11:00,0,None,15-01-2025,Minimal,On-time
SW618,American Airlines,SEA,PHX,20-01-2025 06:30,20-01-2025 06:30,0,None,20-01-2025,Minimal,On-time
JB417,United Airlines,ATL,LAX,16-04-2025 16:15,16-04-2025 16:20,5,Late Aircraft,16-04-2025,Minimal,Delayed
JB218,American Airlines,ORD,JFK,29-03-2025 19:00,29-03-2025 19:05,5,Weather,29-03-2025,Minimal,Delayed
AS863,United Airlines,JFK,DEN,23-03-2025 06:30,23-03-2025 07:15,45,Crew,23-03-2025,Moderate,Delayed
SW787,American Airlines,ORD,ATL,21-01-2025 08:00,21-01-2025 11:00,180,Security,21-01-2025,Major impact,Delayed
UA662,United Airlines,ORD,ATL,01-05-2025 22:30,01-05-2025 22:45,15,Weather,01-05-2025,Minimal,Delayed
UA653,Southwest Airlines,JFK,DFW,04-01-2025 15:00,04-01-2025 15:05,5,Weather,04-01-2025,Minimal,Delayed
DL821,JetBlue Airways,PHX,SEA,20-03-2025 11:30,20-03-2025 12:00,30,Security,20-03-2025,Moderate,Delayed
SW681,Delta Air Lines,LAX,MIA,13-01-2025 14:30,13-01-2025 16:30,120,Late Aircraft,13-01-2025,Major impact,Delayed
DL981,JetBlue Airways,ORD,SFO,20-02-2025 05:30,20-02-2025 05:30,0,None,20-02-2025,Minimal,On-time
SW599,American Airlines,LAX,MIA,15-01-2025 11:45,15-01-2025 12:00,15,Crew,15-01-2025,Minimal,Delayed
JB688,Delta Air Lines,MIA,LAX,21-02-2025 22:00,21-02-2025 22:10,10,Crew,21-02-2025,Minimal,Delayed
SW704,Southwest Airlines,DFW,ORD,12-03-2025 05:45,12-03-2025 06:45,60,Technical,12-03-2025,Moderate,Delayed
JB541,Southwest Airlines,PHX,DEN,11-03-2025 22:15,11-03-2025 22:25,10,Security,11-03-2025,Minimal,Delayed
AA706,JetBlue Airways,SEA,DEN,13-03-2025 03:45,13-03-2025 05:15,90,Weather,13-03-2025,Major impact,Delayed
JB889,Southwest Airlines,DEN,MIA,24-03-2025 21:00,24-03-2025 21:15,15,Security,24-03-2025,Minimal,Delayed
AS929,American Airlines,ATL,DFW,27-02-2025 17:30,27-02-2025 19:30,120,Technical,27-02-2025,Major impact,Delayed
UA406,JetBlue Airways,ORD,SEA,02-04-2025 11:00,02-04-2025 14:00,180,Late Aircraft,02-04-2025,Major impact,Delayed
AA478,JetBlue Airways,JFK,LAX,01-04-2025 17:30,01-04-2025 18:15,45,Weather,01-04-2025,Moderate,Delayed
AS704,Southwest Airlines,DEN,SEA,21-02-2025 12:45,21-02-2025 13:00,15,Late Aircraft,21-02-2025,Minimal,Delayed
JB493,United Airlines,SFO,ATL,06-02-2025 21:15,06-02-2025 21:25,10,Weather,06-02-2025,Minimal,Delayed
SW773,Southwest Airlines,ATL,LAX,18-01-2025 20:45,18-01-2025 20:45,0,None,18-01-2025,Minimal,On-time
AS718,Southwest Airlines,PHX,ATL,28-02-2025 16:45,28-02-2025 18:45,120,Late Aircraft,28-02-2025,Missed connections,Delayed
SW719,American Airlines,PHX,SEA,19-04-2025 23:15,19-04-2025 23:15,0,None,19-04-2025,Minimal,On-time
JB690,United Airlines,JFK,LAX,14-03-2025 15:30,14-03-2025 17:30,120,Weather,14-03-2025,Major impact,Delayed
JB979,United Airlines,SEA,PHX,11-01-2025 16:00,11-01-2025 16:10,10,Security,11-01-2025,Minimal,Delayed
UA727,American Airlines,DEN,PHX,10-04-2025 00:45,10-04-2025 02:45,120,Security,10-04-2025,Missed connections,Delayed
UA396,Delta Air Lines,JFK,DEN,04-04-2025 18:30,04-04-2025 20:30,120,Security,04-04-2025,Major impact,Delayed
AS398,Alaska Airlines,PHX,JFK,06-02-2025 15:00,06-02-2025 15:10,10,Crew,06-02-2025,Minimal,Delayed
JB387,United Airlines,ORD,JFK,05-04-2025 03:15,05-04-2025 03:15,0,None,05-04-2025,Minimal,On-time
AS557,United Airlines,ATL,DEN,11-04-2025 22:15,12-04-2025 01:15,180,Weather,11-04-2025,Missed connections,Delayed
DL709,Delta Air Lines,SEA,SFO,09-04-2025 12:15,09-04-2025 12:30,15,Technical,09-04-2025,Minimal,Delayed
UA155,Alaska Airlines,ORD,LAX,07-01-2025 05:45,07-01-2025 06:30,45,Late Aircraft,07-01-2025,Moderate,Delayed
JB339,Southwest Airlines,SFO,MIA,03-02-2025 04:45,03-02-2025 06:45,120,Late Aircraft,03-02-2025,Missed connections,Delayed
AS142,American Airlines,MIA,DEN,19-04-2025 13:30,19-04-2025 14:15,45,Weather,19-04-2025,Moderate,Delayed
JB500,Southwest Airlines,DFW,ORD,08-03-2025 10:15,08-03-2025 10:20,5,Weather,08-03-2025,Minimal,Delayed
AA521,American Airlines,MIA,LAX,29-03-2025 14:30,29-03-2025 15:15,45,Crew,29-03-2025,Moderate,Delayed
AA734,American Airlines,JFK,ORD,18-03-2025 20:00,18-03-2025 20:00,0,None,18-03-2025,Minimal,On-time
JB233,Southwest Airlines,PHX,ATL,25-04-2025 03:15,25-04-2025 05:15,120,Weather,25-04-2025,Missed connections,Delayed
UA887,Southwest Airlines,DEN,ORD,21-01-2025 02:30,21-01-2025 02:30,0,None,21-01-2025,Minimal,On-time
UA161,United Airlines,ORD,ATL,26-02-2025 02:45,26-02-2025 02:45,0,None,26-02-2025,Minimal,On-time
SW282,Alaska Airlines,SEA,LAX,19-01-2025 17:45,19-01-2025 17:55,10,Late Aircraft,19-01-2025,Minimal,Delayed
AA135,American Airlines,LAX,DEN,10-04-2025 14:00,10-04-2025 14:00,0,None,10-04-2025,Minimal,On-time
AS100,American Airlines,SFO,ORD,20-01-2025 22:30,20-01-2025 22:30,0,None,20-01-2025,Minimal,On-time
JB824,Southwest Airlines,SEA,SFO,21-02-2025 23:00,21-02-2025 23:05,5,Late Aircraft,21-02-2025,Minimal,Delayed
SW224,JetBlue Airways,MIA,DEN,12-02-2025 21:30,12-02-2025 21:40,10,Crew,12-02-2025,Minimal,Delayed
UA182,Southwest Airlines,ORD,DFW,23-01-2025 17:00,23-01-2025 17:00,0,None,23-01-2025,Minimal,On-time
UA812,Southwest Airlines,LAX,SFO,04-03-2025 02:45,04-03-2025 02:45,0,None,04-03-2025,Minimal,On-time
DL125,Alaska Airlines,PHX,DFW,04-03-2025 12:00,04-03-2025 12:00,0,None,04-03-2025,Minimal,On-time
SW646,Southwest Airlines,JFK,LAX,13-02-2025 01:30,13-02-2025 01:30,0,None,13-02-2025,Minimal,On-time
AA316,Alaska Airlines,MIA,SEA,01-05-2025 21:15,01-05-2025 21:15,0,None,01-05-2025,Minimal,On-time
AA137,Alaska Airlines,ATL,MIA,25-03-2025 00:45,25-03-2025 00:45,0,None,25-03-2025,Minimal,On-time
DL818,Alaska Airlines,ATL,JFK,23-01-2025 20:00,23-01-2025 20:00,0,None,23-01-2025,Minimal,On-time
AA567,JetBlue Airways,ATL,LAX,15-04-2025 03:00,15-04-2025 03:30,30,Weather,15-04-2025,Moderate,Delayed
SW445,Alaska Airlines,SFO,DEN,16-01-2025 21:15,16-01-2025 21:45,30,Weather,16-01-2025,Moderate,Delayed
UA164,American Airlines,ORD,ATL,07-04-2025 13:15,07-04-2025 16:15,180,Technical,07-04-2025,Missed connections,Delayed
JB141,Delta Air Lines,LAX,SEA,10-04-2025 05:00,10-04-2025 05:00,0,None,10-04-2025,Minimal,On-time
AA283,American Airlines,PHX,ORD,23-02-2025 22:45,23-02-2025 23:15,30,Technical,23-02-2025,Moderate,Delayed
JB561,Southwest Airlines,DFW,ATL,20-03-2025 22:00,21-03-2025 00:00,120,Security,20-03-2025,Major impact,Delayed
UA456,Southwest Airlines,JFK,PHX,31-01-2025 06:00,31-01-2025 06:00,0,None,31-01-2025,Minimal,On-time
JB470,JetBlue Airways,MIA,DFW,01-03-2025 20:15,01-03-2025 20:45,30,Weather,01-03-2025,Moderate,Delayed
AS964,Southwest Airlines,SEA,ATL,21-01-2025 21:00,21-01-2025 22:00,60,Crew,21-01-2025,Moderate,Delayed
UA442,JetBlue Airways,SEA,JFK,14-01-2025 23:00,14-01-2025 23:00,0,None,14-01-2025,Minimal,On-time
AA596,JetBlue Airways,LAX,ATL,25-04-2025 07:45,25-04-2025 08:45,60,Late Aircraft,25-04-2025,Moderate,Delayed
AS433,Delta Air Lines,LAX,SFO,30-01-2025 03:15,30-01-2025 03:15,0,None,30-01-2025,Minimal,On-time
SW325,American Airlines,SEA,MIA,07-01-2025 13:15,07-01-2025 15:15,120,Technical,07-01-2025,Missed connections,Delayed
SW837,Delta Air Lines,DEN,ORD,26-01-2025 10:15,26-01-2025 10:20,5,Crew,26-01-2025,Minimal,Delayed
SW569,Southwest Airlines,ATL,SFO,29-01-2025 09:15,29-01-2025 09:15,0,None,29-01-2025,Minimal,On-time
JB274,JetBlue Airways,MIA,DFW,12-01-2025 13:45,12-01-2025 13:45,0,None,12-01-2025,Minimal,On-time
SW957,Southwest Airlines,ORD,JFK,04-04-2025 13:15,04-04-2025 14:45,90,Security,04-04-2025,Major impact,Delayed
JB252,JetBlue Airways,JFK,SEA,06-01-2025 01:45,06-01-2025 01:45,0,None,06-01-2025,Minimal,On-time
SW643,Southwest Airlines,SEA,LAX,27-02-2025 15:15,27-02-2025 15:20,5,Late Aircraft,27-02-2025,Minimal,Delayed
DL467,United Airlines,DFW,LAX,03-01-2025 15:30,03-01-2025 17:30,120,Security,03-01-2025,Major impact,Delayed
SW890,Delta Air Lines,SFO,ATL,12-04-2025 11:45,,,Weather,12-04-2025,Missed connections,Cancelled
AS440,JetBlue Airways,JFK,DEN,24-02-2025 08:15,24-02-2025 08:15,0,None,24-02-2025,Minimal,On-time
UA853,American Airlines,MIA,DEN,24-04-2025 01:00,24-04-2025 03:00,120,Security,24-04-2025,Major impact,Delayed
DL763,JetBlue Airways,LAX,PHX,01-04-2025 06:15,01-04-2025 06:15,0,None,01-04-2025,Minimal,On-time
AA764,Southwest Airlines,PHX,DFW,07-04-2025 23:15,08-04-2025 00:00,45,Security,07-04-2025,Moderate,Delayed
UA155,American Airlines,DEN,SFO,27-02-2025 15:00,27-02-2025 18:00,180,Security,27-02-2025,Missed connections,Delayed
UA919,Alaska Airlines,LAX,ORD,25-04-2025 14:00,25-04-2025 14:15,15,Crew,25-04-2025,Minimal,Delayed
AA211,Delta Air Lines,ORD,LAX,31-03-2025 04:45,31-03-2025 05:15,30,Security,31-03-2025,Moderate,Delayed
AA400,Southwest Airlines,MIA,ATL,02-03-2025 11:45,02-03-2025 11:50,5,Crew,02-03-2025,Minimal,Delayed
AA992,Delta Air Lines,MIA,DEN,22-02-2025 18:30,22-02-2025 19:30,60,Late Aircraft,22-02-2025,Moderate,Delayed
AS642,JetBlue Airways,SEA,MIA,08-02-2025 18:15,08-02-2025 18:15,0,None,08-02-2025,Minimal,On-time
UA332,Southwest Airlines,DEN,ORD,09-04-2025 01:15,09-04-2025 03:15,120,Technical,09-04-2025,Major impact,Delayed
UA286,Delta Air Lines,ATL,DFW,31-01-2025 03:00,31-01-2025 03:00,0,None,31-01-2025,Minimal,On-time
SW366,United Airlines,ATL,ORD,13-03-2025 22:00,13-03-2025 23:00,60,Technical,13-03-2025,Moderate,Delayed
JB266,JetBlue Airways,ORD,LAX,28-04-2025 00:45,28-04-2025 00:45,0,None,28-04-2025,Minimal,On-time
SW427,Delta Air Lines,JFK,PHX,06-03-2025 10:30,06-03-2025 11:15,45,Security,06-03-2025,Moderate,Delayed
JB846,Southwest Airlines,DEN,LAX,04-04-2025 15:00,04-04-2025 18:00,180,Weather,04-04-2025,Missed connections,Delayed
JB961,Delta Air Lines,SEA,DEN,12-01-2025 10:00,12-01-2025 10:30,30,Security,12-01-2025,Moderate,Delayed
UA300,American Airlines,LAX,PHX,19-04-2025 14:00,19-04-2025 14:00,0,None,19-04-2025,Minimal,On-time
SW425,JetBlue Airways,PHX,MIA,01-05-2025 01:30,01-05-2025 03:00,90,Crew,01-05-2025,Missed connections,Delayed
UA453,United Airlines,ORD,MIA,22-04-2025 17:00,22-04-2025 19:00,120,Late Aircraft,22-04-2025,Missed connections,Delayed
AS534,Alaska Airlines,SFO,ATL,17-04-2025 18:00,17-04-2025 18:45,45,Late Aircraft,17-04-2025,Moderate,Delayed
JB443,American Airlines,PHX,SFO,12-01-2025 00:45,12-01-2025 01:30,45,Late Aircraft,12-01-2025,Moderate,Delayed
SW827,JetBlue Airways,ATL,ORD,24-01-2025 12:30,24-01-2025 12:35,5,Crew,24-01-2025,Minimal,Delayed
UA605,JetBlue Airways,SEA,DFW,04-01-2025 00:15,04-01-2025 02:15,120,Weather,04-01-2025,Missed connections,Delayed
SW804,Alaska Airlines,DFW,JFK,16-01-2025 08:45,16-01-2025 08:45,0,None,16-01-2025,Minimal,On-time
AS470,JetBlue Airways,SEA,SFO,22-04-2025 08:45,22-04-2025 08:45,0,None,22-04-2025,Minimal,On-time
UA624,Alaska Airlines,PHX,JFK,19-04-2025 08:15,19-04-2025 08:30,15,Crew,19-04-2025,Minimal,Delayed
AS238,United Airlines,ATL,JFK,04-02-2025 11:45,04-02-2025 12:45,60,Weather,04-02-2025,Moderate,Delayed
JB754,American Airlines,MIA,DFW,09-04-2025 20:15,09-04-2025 20:15,0,None,09-04-2025,Minimal,On-time
DL656,United Airlines,DEN,ORD,04-02-2025 21:30,,,Security,04-02-2025,Missed connections,Cancelled
UA897,Southwest Airlines,SFO,DEN,28-04-2025 05:00,28-04-2025 08:00,180,Technical,28-04-2025,Major impact,Delayed
JB728,Alaska Airlines,MIA,PHX,02-04-2025 17:00,02-04-2025 17:10,10,Weather,02-04-2025,Minimal,Delayed
AA591,United Airlines,ORD,SFO,18-01-2025 14:30,18-01-2025 15:15,45,Weather,18-01-2025,Moderate,Delayed
AA327,Delta Air Lines,ATL,ORD,09-02-2025 04:15,09-02-2025 04:25,10,Late Aircraft,09-02-2025,Minimal,Delayed
AA179,American Airlines,SEA,SFO,06-01-2025 06:00,06-01-2025 09:00,180,Security,06-01-2025,Major impact,Delayed
UA144,American Airlines,ORD,JFK,07-04-2025 03:00,07-04-2025 03:00,0,None,07-04-2025,Minimal,On-time
DL289,Alaska Airlines,DEN,JFK,12-01-2025 04:30,12-01-2025 04:30,0,None,12-01-2025,Minimal,On-time
DL975,JetBlue Airways,PHX,DFW,06-03-2025 18:00,06-03-2025 18:05,5,Security,06-03-2025,Minimal,Delayed
DL388,Delta Air Lines,MIA,JFK,03-04-2025 03:15,03-04-2025 03:15,0,None,03-04-2025,Minimal,On-time
SW475,Alaska Airlines,PHX,ATL,26-02-2025 21:00,26-02-2025 22:00,60,Late Aircraft,26-02-2025,Moderate,Delayed
JB333,Southwest Airlines,LAX,SFO,16-01-2025 14:00,16-01-2025 16:00,120,Crew,16-01-2025,Missed connections,Delayed
AA184,United Airlines,SEA,LAX,19-02-2025 09:45,19-02-2025 10:30,45,Late Aircraft,19-02-2025,Moderate,Delayed
SW397,Southwest Airlines,DFW,LAX,25-04-2025 15:30,25-04-2025 17:30,120,Weather,25-04-2025,Missed connections,Delayed
AS792,American Airlines,LAX,DFW,20-02-2025 12:00,20-02-2025 12:00,0,None,20-02-2025,Minimal,On-time
DL166,United Airlines,DFW,SFO,26-01-2025 19:45,26-01-2025 21:15,90,Late Aircraft,26-01-2025,Missed connections,Delayed
JB707,United Airlines,SFO,DEN,02-03-2025 21:45,02-03-2025 21:45,0,None,02-03-2025,Minimal,On-time
DL886,Southwest Airlines,LAX,ATL,02-02-2025 15:45,02-02-2025 16:00,15,Weather,02-02-2025,Minimal,Delayed
AA950,American Airlines,SEA,JFK,23-01-2025 12:30,23-01-2025 12:40,10,Weather,23-01-2025,Minimal,Delayed
JB885,Southwest Airlines,SEA,DFW,07-02-2025 21:45,07-02-2025 22:30,45,Security,07-02-2025,Moderate,Delayed
JB659,American Airlines,JFK,SEA,23-04-2025 03:45,23-04-2025 05:15,90,Late Aircraft,23-04-2025,Missed connections,Delayed
DL670,Alaska Airlines,ORD,ATL,04-03-2025 13:15,04-03-2025 14:45,90,Late Aircraft,04-03-2025,Major impact,Delayed
SW775,JetBlue Airways,MIA,SEA,02-03-2025 17:15,02-03-2025 18:45,90,Crew,02-03-2025,Missed connections,Delayed
SW731,Alaska Airlines,DEN,ORD,11-02-2025 01:00,11-02-2025 01:15,15,Crew,11-02-2025,Minimal,Delayed
AS697,American Airlines,DEN,SEA,13-01-2025 13:30,13-01-2025 13:30,0,None,13-01-2025,Minimal,On-time
AA777,Delta Air Lines,DFW,ORD,24-03-2025 09:00,24-03-2025 09:00,0,None,24-03-2025,Minimal,On-time
UA217,United Airlines,ATL,JFK,10-03-2025 10:00,10-03-2025 11:30,90,Security,10-03-2025,Missed connections,Delayed
AS580,JetBlue Airways,JFK,SFO,18-02-2025 18:45,18-02-2025 18:55,10,Late Aircraft,18-02-2025,Minimal,Delayed
AS310,United Airlines,SEA,PHX,14-04-2025 21:30,14-04-2025 22:15,45,Crew,14-04-2025,Moderate,Delayed
DL608,Alaska Airlines,LAX,PHX,28-01-2025 09:30,28-01-2025 11:00,90,Technical,28-01-2025,Major impact,Delayed
JB197,JetBlue Airways,DEN,ORD,09-01-2025 18:45,09-01-2025 19:45,60,Weather,09-01-2025,Moderate,Delayed
UA616,United Airlines,SFO,PHX,10-02-2025 06:45,10-02-2025 09:45,180,Late Aircraft,10-02-2025,Major impact,Delayed
AS820,JetBlue Airways,ATL,MIA,28-01-2025 21:45,29-01-2025 00:45,180,Security,28-01-2025,Missed connections,Delayed
AS741,American Airlines,MIA,DFW,16-02-2025 14:15,16-02-2025 15:00,45,Late Aircraft,16-02-2025,Moderate,Delayed
AA749,Delta Air Lines,SFO,ORD,16-04-2025 09:15,16-04-2025 09:45,30,Late Aircraft,16-04-2025,Moderate,Delayed
DL296,American Airlines,DFW,DEN,01-03-2025 15:45,01-03-2025 15:50,5,Technical,01-03-2025,Minimal,Delayed
DL129,United Airlines,ORD,PHX,23-01-2025 20:00,23-01-2025 20:00,0,None,23-01-2025,Minimal,On-time
AA156,American Airlines,DEN,ORD,21-04-2025 02:45,21-04-2025 02:45,0,None,21-04-2025,Minimal,On-time
AA506,Alaska Airlines,ATL,ORD,15-01-2025 18:00,15-01-2025 21:00,180,Crew,15-01-2025,Missed connections,Delayed
DL714,American Airlines,DEN,SFO,17-04-2025 18:45,17-04-2025 18:45,0,None,17-04-2025,Minimal,On-time
SW323,Delta Air Lines,LAX,DFW,28-01-2025 08:45,28-01-2025 08:50,5,Late Aircraft,28-01-2025,Minimal,Delayed
AS215,United Airlines,MIA,SFO,02-03-2025 21:15,02-03-2025 21:15,0,None,02-03-2025,Minimal,On-time
